start	end	duration	path	overlap_list
1448055539.27	1448058024.51	2485.236146	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-20-22-38-59_0.bag	[]
1448063949.18	1448064014.02	64.842585	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-21-00-59-09_0.bag	[]
1448092960.85	1448093168.51	207.657492	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-21-09-02-40_0.bag	[]
1448093242.81	1448093461.92	219.114483	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-21-09-07-22_0.bag	[]
1448093652.95	1448093705.2	52.249681	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-21-09-14-12_0.bag	[]
1448093667.82	1448093963.14	295.320742	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/b-it-bots_FBM1_21_08-14/b-it-bot_21_08-14.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-21-09-14-12_0.bag']
1448093667.82	1448093963.14	295.320742	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM1@W_1/b-it-bot_21_09-14.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-21-09-14-12_0.bag', '/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/b-it-bots_FBM1_21_08-14/b-it-bot_21_08-14.bag']
1448093709.06	1448094276.1	567.044039	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM1@W_1/log/log_fbm1w_2015-11-21-09-15-09_0.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/b-it-bots_FBM1_21_08-14/b-it-bot_21_08-14.bag', '/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM1@W_1/b-it-bot_21_09-14.bag']
1448093709.06	1448094276.1	567.044039	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-21-09-15-09_0.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/b-it-bots_FBM1_21_08-14/b-it-bot_21_08-14.bag', '/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM1@W_1/b-it-bot_21_09-14.bag', '/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM1@W_1/log/log_fbm1w_2015-11-21-09-15-09_0.bag']
1448094602.3	1448095762.2	1159.892616	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM1@W_1/log/log_fbm1w_2015-11-21-09-30-02_0.bag	[]
1448094602.3	1448095762.2	1159.892616	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-21-09-30-02_0.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM1@W_1/log/log_fbm1w_2015-11-21-09-30-02_0.bag']
1448094642.34	1448095334.42	692.082569	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM1@W_1/smARTLab_FBM1_21_08-30.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM1@W_1/log/log_fbm1w_2015-11-21-09-30-02_0.bag', '/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-21-09-30-02_0.bag']
1448096668.15	1448096910.45	242.305595	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/b-it-bots_FBM2_21_10-04/21_10-04.bag	[]
1448096668.15	1448096910.45	242.305595	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM2@W_1/21_10-04.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/b-it-bots_FBM2_21_10-04/21_10-04.bag']
1448097427.57	1448097701.78	274.207677	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM2@W_1/smARTLab_FBM2_21_09-17.bag	[]
1448098035.53	1448099533.01	1497.48099	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/SPQR_bag_FBM2_round1/2015-11-21-09-27-15.bag	[]
1448101155.12	1448102245.69	1090.575573	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-21-11-19-15_0.bag	[]
1448102319.71	1448102351.41	31.70001	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-21-11-38-39_0.bag	[]
1448102361.39	1448103184.53	823.140826	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-21-11-39-21_0.bag	[]
1448102428.66	1448102879.88	451.210651	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/b-it-bots_FBM3_21_11-40/21_11-40.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-21-11-39-21_0.bag']
1448102428.66	1448102879.88	451.210651	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM3@W/21_11-40.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-21-11-39-21_0.bag', '/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/b-it-bots_FBM3_21_11-40/21_11-40.bag']
1448102428.66	1448102879.88	451.210651	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM3@W_2/b-it-bots_FBM3_21_11-40/21_11-40.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-21-11-39-21_0.bag', '/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/b-it-bots_FBM3_21_11-40/21_11-40.bag', '/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM3@W/21_11-40.bag']
1448103365.91	1448104741.98	1376.070811	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-21-11-56-05_0.bag	[]
1448104728.21	1448104740.31	12.100297	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM3@W/smARTLab_FBM3_21_11-18.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-21-11-56-05_0.bag']
1448104906.88	1448105396.63	489.752326	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-21-12-21-46_0.bag	[]
1448104909.58	1448105202.76	293.17734	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM3@W/smARTLab_FBM3_21_11_21.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-21-12-21-46_0.bag']
1448113002.03	1448113005.04	3.019109	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-21-14-36-42_0.bag	[]
1448115060.46	1448116247.78	1187.323224	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-21-15-11-00_0.bag	[]
1448115242.16	1448115954.12	711.957544	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/b-it-bots_FBM1_21_15-14/21_15-14.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-21-15-11-00_0.bag']
1448115242.16	1448115954.12	711.957544	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/FBM1@W_2/b-it-bots_FBM1_21_15-14.bag	['/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-21-15-11-00_0.bag', '/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/robot_logging/b-it-bots_FBM1_21_15-14/21_15-14.bag']
1448116258.58	1448117541.56	1282.981798	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-21-15-30-58_0.bag	[]
